Nama Restoran,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Variasi Makanan
Gudeg Mercon Bu Tinah,"Jalan Asem Gede Nomor 8, Jetis",20000,4.2,Nasi Gudeg Krecek Telur
Gudeg Mercon Bu Tinah,"Jalan Asem Gede Nomor 8, Jetis",20000,4.2,Nasi Gudeg Krecek Ceker
Gudeg Mercon Bu Tinah,"Jalan Asem Gede Nomor 8, Jetis",20000,4.2,Nasi Gudeg Krecek Ati Ampela
Gudeg Mercon Bu Tinah,"Jalan Asem Gede Nomor 8, Jetis",20000,4.2,Nasi Gudeg Krecek Ayam Dada
Gudeg Mercon Bu Tinah,"Jalan Asem Gede Nomor 8, Jetis",20000,4.2,Nasi Gudeg Krecek Ayam Paha
Gudeg Mercon Bu Tinah,"Jalan Asem Gede Nomor 8, Jetis",20000,4.2,Nasi Gudeg Krecek Tahu Tempe Bacem
Gudeg Mbok Lindu,Jalan Sosrowijayan Nomor 41-43,20000,4.6,Nasi Gudeg Telur
Gudeg Mbok Lindu,Jalan Sosrowijayan Nomor 41-43,20000,4.6,Bubur Gudeg Telur
Gudeg Mbok Lindu,Jalan Sosrowijayan Nomor 41-43,20000,4.6,Gudeg Telur dan Suwir
Gudeg Permata Bu Narti,Jalan Gajah Mada Nomor 2,14000,4.5,Nasi Gudeg Telur
Gudeg Permata Bu Narti,Jalan Gajah Mada Nomor 2,14000,4.5,Nasi Gudeg Ati Ampela
Gudeg Permata Bu Narti,Jalan Gajah Mada Nomor 2,14000,4.5,Nasi Gudeg Dada + Telur
Gudeg Permata Bu Narti,Jalan Gajah Mada Nomor 2,14000,4.5,Nasi Gudeg Paha Bawah
Gudeg Permata Bu Narti,Jalan Gajah Mada Nomor 2,14000,4.5,Nasi Gudeg Sayap
Gudeg Permata Bu Narti,Jalan Gajah Mada Nomor 2,14000,4.5,Nasi Gudeg Kepala
Gudeg Permata Bu Narti,Jalan Gajah Mada Nomor 2,14000,4.5,Nasi Gudeg Tahu Tempe
Gudeg Permata Bu Narti,Jalan Gajah Mada Nomor 2,14000,4.5,Nasi Gudeg Paha Atas
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Nasi Gudeg Polos
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Nasi Gudeg + Tahu
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Nasi Gudeg + Telur
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Nasi Gudeg + Telur + Tahu
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Nasi Gudeg + Kepala
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Nasi Gudeg + Kepala + Telur
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Nasi Putih
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Nasi Gudeg + Ati Ampela
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Es Teh Manis
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Teh Manis
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Es Teh Tawar
Gudeg Bu Djuminten,Jalan Asam Gede Nomor 14,25000,4.5,Teh Tawar
Gudeg Pawon,Jl. Prof. DR. Soepomo Sh UH/IV Nomor 36,25000,4.5,Nasi Gudeg Sayap
Gudeg Pawon,Jl. Prof. DR. Soepomo Sh UH/IV Nomor 36,25000,4.5,Nasi Gudeg Paha Atas
Gudeg Pawon,Jl. Prof. DR. Soepomo Sh UH/IV Nomor 36,25000,4.5,Nasi Gudeg Dada
Gudeg Pawon,Jl. Prof. DR. Soepomo Sh UH/IV Nomor 36,25000,4.5,Nasi Gudeg Paha Bawah
Gudeg Pawon,Jl. Prof. DR. Soepomo Sh UH/IV Nomor 36,25000,4.5,Nasi Gudeg Kepala
Gudeg Pawon,Jl. Prof. DR. Soepomo Sh UH/IV Nomor 36,25000,4.5,Nasi Gudeg Ati Ampela
Gudeg Pawon,Jl. Prof. DR. Soepomo Sh UH/IV Nomor 36,25000,4.5,Nasi Gudeg Telur 
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Original Cokelat
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Original Nanas
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Original Kacang Hijau
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Original Aneka Rasa
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Original Keju
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Kacang Hijau
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Susu
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Cokelat
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Telo Ungu
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Kumbu
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Nanas
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Cappuccino
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Keju
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Durian
Bakpia Pathok 25,Jalan Karel Sasuit Tubun Nomor 504,42500,4.6,Bakpia Pathok 25 Premium Green Tea
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Bolen 5 Potong
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Isi 40
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Keju isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Kacang hijau isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Kumbu Hitam Isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Coklat Isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Susu Isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Greentea Isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Kopi isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Ubi Ungu Isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Tiramisu Isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Susu Durian Isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Coklat Mete Isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Keju Edam Isi 15
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Pia Choco Crunchy Isi 4
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Paket 3 Box Bakpia Mini
Bakpia Kurnia Sari,Jalan Glagahsari Nomor 91,35000,4.4,Bakpia Oreo Isi 15
Bakpia Patuk 75,Jalan Karel Sasuit Tubun Nomor 75,35000,4.7,Bakpia Klasik isi 15
Bakpia Patuk 75,Jalan Karel Sasuit Tubun Nomor 75,35000,4.7,Bakpia Super isi 10
Bakpia Patuk 75,Jalan Karel Sasuit Tubun Nomor 75,35000,4.7,Bakpia Klasik isi 20
Bakpia Patuk 75,Jalan Karel Sasuit Tubun Nomor 75,35000,4.7,Bakpia Super isi 15
Bakpia Patuk 75,Jalan Karel Sasuit Tubun Nomor 75,35000,4.7,Pia Toegoe isi 15
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Bakpia Kacang Hijau
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Bakpia Kumbu Hitam
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Bakpia Coklat
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Bakpia Keju
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Bakpia Durian
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Bakpia Aneka Rasa
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Wingko Babat
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Yangko
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Ampyang Jahe
Bakpia Pathok 145,Jalan Gambiran Nomor 67A,35000,4.4,Gula Kelapa Muda 
Bakpiaku,Jalan Gajah Mada Nomor 60,35000,4.5,Bakpiaku Kumbu Hitam
Bakpiaku,Jalan Gajah Mada Nomor 60,35000,4.5,Bakpiaku Durian
Bakpiaku,Jalan Gajah Mada Nomor 60,35000,4.5,Bakpiaku Cappucino
Bakpiaku,Jalan Gajah Mada Nomor 60,35000,4.5,Bakpiaku Susu
Bakpiaku,Jalan Gajah Mada Nomor 60,35000,4.5,Bakpiaku Green Tea
Bakpiaku,Jalan Gajah Mada Nomor 60,35000,4.5,Bakpiaku Kacang Hijau
Bakpiaku,Jalan Gajah Mada Nomor 60,35000,4.5,Bakpiaku Coklat
Bakpiaku,Jalan Gajah Mada Nomor 60,35000,4.5,Bakpiaku Keju
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Oseng Mercon
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Oseng Mercon Ayam
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Oseng Mercon Lele
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Oseng Mercon Burung Puyuh
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Nasi Putih
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Es Teh
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Es Jeruk
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Tempe Mendoan
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Tahu Mendoan
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Sate Telur Puyuh
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Ceker Mercon
Oseng Mercon Bu Narti,Jalan KH. Ahmad Dahlan Nomor 110,25000,3.8,Usus Mercon
Oseng Mercon 62,Jl. KH. Ahmad Dahlan No.62,30000,4.1,Oseng Mercon Daging Sapi
Oseng Mercon 62,Jl. KH. Ahmad Dahlan No.62,30000,4.1,Oseng Mercon Ayam
Oseng Mercon 62,Jl. KH. Ahmad Dahlan No.62,30000,4.1,Ayam Geprek Mercon
Oseng Mercon 62,Jl. KH. Ahmad Dahlan No.62,30000,4.1,Ayam Goreng
Oseng Mercon 62,Jl. KH. Ahmad Dahlan No.62,30000,4.1,Babat Bacem
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Oseng Mercon Ayam
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Oseng Mercon Lele
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Oseng Mercon Nila
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Oseng Mercon Cakalang
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Oseng Mercon Telur Double
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Mercon Babat Sapi
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Mercon Paru
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Mercon Udang
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Oseng Mercon Ati Ampela
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Oseng Mercon Burung Puyuh
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Oseng Mercon Ceker
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Nasi Goreng Mercon Babat +Telur
Oseng Mercon Mas Toni,Jalan KH. Ahmad Dahlan Nomor 87,30000,4.2,Nasi Goreng Mercon Paru
